Time,Source,Destination,Protocol,Length,Src port,Dest port,Target
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60729,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60730,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60731,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60732,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60733,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60734,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60735,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60736,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60737,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60738,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60739,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60740,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60741,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60742,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60743,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60744,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60745,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60746,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60747,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60748,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60749,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60750,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60751,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60752,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60753,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60754,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60755,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60756,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60757,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60758,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60759,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60760,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60761,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60762,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60763,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60764,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60765,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60766,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60767,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60768,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60769,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60770,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60771,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60772,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60773,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60774,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60775,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60776,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60777,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60778,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60779,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60780,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60781,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60782,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60783,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60784,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60785,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60786,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60787,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60788,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60789,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60790,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60791,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60792,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60793,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60794,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60795,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60796,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60797,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60798,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60799,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60800,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60801,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60802,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60803,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60804,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60805,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60806,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60807,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60808,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60809,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60810,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60811,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60812,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60813,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60814,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60815,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60816,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60817,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60818,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60819,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60820,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60821,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60822,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60823,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60824,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60825,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60826,80,1
21:06.7,192.168.122.34,192.168.122.190,TCP,66,60827,80,1
21:06.7,192.168.122.34,192.168.122.190,TCP,66,60828,80,1
21:06.7,192.168.122.34,192.168.122.190,TCP,66,60829,80,1
21:06.7,192.168.122.34,192.168.122.190,TCP,66,60830,80,1
